"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 27일","274,000","285,500","285,500","273,500","1.58K","-3.86%"
"2021년 04월 26일","285,000","287,500","288,000","284,000","0.89K","-1.04%"
"2021년 04월 25일","288,000","288,000","288,000","288,000","-","0.00%"
"2021년 04월 23일","288,000","288,000","291,000","285,000","509.25K","0.00%"
"2021년 04월 22일","288,000","292,000","294,500","287,000","0.99K","-0.86%"
"2021년 04월 21일","290,500","295,500","297,500","290,000","0.90K","-3.17%"
"2021년 04월 20일","300,000","306,000","308,000","299,500","0.43K","-3.07%"
"2021년 04월 19일","309,500","308,000","313,500","305,500","0.41K","0.49%"
"2021년 04월 18일","308,000","308,000","308,000","308,000","-","0.00%"
"2021년 04월 16일","308,000","310,500","312,000","306,500","368.89K","-0.48%"
"2021년 04월 15일","309,500","314,500","315,000","309,000","533.95K","-1.75%"
"2021년 04월 14일","315,000","317,000","319,000","313,000","0.37K","-0.32%"
"2021년 04월 13일","316,000","312,500","319,000","309,000","0.47K","1.77%"
"2021년 04월 12일","310,500","309,500","311,000","306,000","0.33K","0.32%"
"2021년 04월 11일","309,500","309,500","309,500","309,500","-","0.00%"
"2021년 04월 09일","309,500","312,500","314,500","309,000","341.24K","-0.64%"
"2021년 04월 08일","311,500","306,500","311,500","303,000","479.81K","1.80%"
"2021년 04월 07일","306,000","304,000","312,000","303,000","0.10K","0.82%"
"2021년 04월 06일","303,500","309,000","313,000","302,000","1.50K","-1.46%"
"2021년 04월 05일","308,000","318,000","319,000","307,000","2.23K","-3.90%"
"2021년 04월 04일","320,500","320,500","320,500","320,500","-","0.00%"
"2021년 04월 02일","320,500","324,500","326,000","318,000","489.09K","-1.23%"
"2021년 04월 01일","324,500","323,500","327,500","318,000","0.60K","0.00%"
"2021년 03월 31일","324,500","325,000","325,500","322,500","1.76K","0.31%"
"2021년 03월 30일","323,500","328,500","329,000","323,000","593.11K","-2.12%"
"2021년 03월 29일","330,500","332,500","334,500","323,500","0.62K","5.25%"
"2021년 03월 28일","314,000","314,000","314,000","314,000","-","0.00%"
"2021년 03월 26일","314,000","311,500","316,500","304,000","792.81K","2.11%"
"2021년 03월 25일","307,500","301,000","307,500","299,500","0.01K","2.50%"
"2021년 03월 24일","300,000","294,000","302,000","292,000","0.93K","2.56%"
"2021년 03월 23일","292,500","294,000","304,000","291,000","1.56K","1.21%"
"2021년 03월 22일","289,000","290,000","294,500","286,000","0.00K","0.70%"
"2021년 03월 21일","287,000","287,000","287,000","287,000","-","0.00%"
"2021년 03월 19일","287,000","288,000","290,500","284,000","452.63K","-1.71%"
"2021년 03월 18일","292,000","296,000","299,500","292,000","0.48K","-0.51%"
"2021년 03월 17일","293,500","297,000","298,000","291,000","0.15K","-1.01%"
"2021년 03월 16일","296,500","291,000","298,000","289,500","0.00K","2.60%"
"2021년 03월 15일","289,000","297,000","297,000","289,000","0.14K","-2.69%"
"2021년 03월 14일","297,000","297,000","297,000","297,000","-","0.00%"
"2021년 03월 12일","297,000","296,000","301,000","293,000","406.98K","1.37%"
"2021년 03월 11일","293,000","286,000","296,500","284,500","0.04K","2.63%"
"2021년 03월 10일","285,500","291,500","296,500","284,000","0.80K","-0.70%"
"2021년 03월 09일","287,500","288,500","292,000","280,500","0.57K","-1.20%"
"2021년 03월 08일","291,000","304,000","304,000","290,500","0.42K","-3.48%"
"2021년 03월 07일","301,500","301,500","301,500","301,500","-","0.00%"
"2021년 03월 05일","301,500","305,000","307,000","300,000","460.10K","-1.63%"
"2021년 03월 04일","306,500","303,000","310,000","297,500","1.49K","1.16%"
"2021년 03월 03일","303,000","292,500","306,000","290,000","3.83K","3.95%"
"2021년 03월 02일","291,500","302,500","307,000","288,500","0.67K","-2.02%"
"2021년 03월 01일","297,500","297,500","297,500","297,500","-","0.00%"
"2021년 02월 26일","297,500","300,000","304,000","292,000","1.04M","-3.41%"
"2021년 02월 25일","308,000","290,500","309,000","287,000","0.48K","9.22%"
"2021년 02월 24일","282,000","292,500","301,000","282,000","0.07K","-4.73%"
"2021년 02월 23일","296,000","311,000","312,500","296,000","0.92K","-4.36%"
"2021년 02월 22일","309,500","322,000","322,000","308,500","0.64K","-2.83%"
"2021년 02월 21일","318,500","318,500","318,500","318,500","-","0.00%"
"2021년 02월 19일","318,500","310,500","318,500","306,000","847.16K","1.27%"
"2021년 02월 18일","314,500","320,500","326,500","314,500","0.34K","-2.18%"
"2021년 02월 17일","321,500","324,000","328,500","315,500","0.97K","-1.08%"
"2021년 02월 16일","325,000","335,000","335,500","324,500","0.66K","-2.40%"
"2021년 02월 15일","333,000","340,000","343,000","333,000","0.04K","0.30%"
"2021년 02월 14일","332,000","332,000","332,000","332,000","-","0.00%"
"2021년 02월 10일","332,000","326,500","332,000","324,500","724.74K","1.22%"
"2021년 02월 09일","328,000","336,000","337,500","328,000","0.68K","-2.38%"
"2021년 02월 08일","336,000","349,500","351,000","336,000","1.62K","-1.61%"
"2021년 02월 07일","341,500","341,500","341,500","341,500","-","0.00%"
"2021년 02월 05일","341,500","347,500","355,000","335,000","1.97M","0.00%"
"2021년 02월 04일","341,500","345,500","349,500","337,500","0.11K","-1.73%"
"2021년 02월 03일","347,500","357,000","359,500","338,000","0.85K","-2.25%"
"2021년 02월 02일","355,500","370,000","370,000","352,500","8.95K","-4.18%"
"2021년 02월 01일","371,000","333,500","382,500","333,500","6.20K","14.51%"
"2021년 01월 31일","324,000","324,000","324,000","324,000","-","0.00%"
"2021년 01월 29일","324,000","334,500","339,000","322,500","1.06M","-3.14%"
"2021년 01월 28일","334,500","319,500","337,500","316,500","3.84K","1.67%"
"2021년 01월 27일","329,000","326,500","333,000","318,000","2.45K","2.02%"
"2021년 01월 26일","322,500","327,500","335,000","321,500","0.44K","0.47%"
"2021년 01월 25일","321,000","311,500","321,500","311,500","0.00K","3.55%"
"2021년 01월 24일","310,000","310,000","310,000","310,000","-","0.00%"
"2021년 01월 22일","310,000","312,500","315,500","308,000","820.77K","-0.64%"
"2021년 01월 21일","312,000","314,000","317,000","306,500","2.58K","0.32%"
"2021년 01월 20일","311,000","315,500","324,000","308,000","0.35K","-0.48%"
"2021년 01월 19일","312,500","309,000","317,000","296,500","0.06K","-0.48%"
"2021년 01월 18일","314,000","327,500","346,000","314,000","1.38K","-4.56%"
