"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 19일","9,150","9,070","9,150","9,060","0.10K","0.00%"
"2021년 04월 18일","9,150","9,150","9,150","9,150","-","0.00%"
"2021년 04월 16일","9,150","9,200","9,200","9,150","1.47M","-0.97%"
"2021년 04월 15일","9,240","9,170","9,250","9,160","2.54K","0.87%"
"2021년 04월 14일","9,160","9,200","9,200","9,130","0.23K","-0.43%"
"2021년 04월 13일","9,200","9,190","9,200","9,160","5.45K","0.22%"
"2021년 04월 12일","9,180","9,160","9,200","9,120","0.02K","0.22%"
"2021년 04월 11일","9,160","9,160","9,160","9,160","-","0.00%"
"2021년 04월 09일","9,160","9,150","9,180","9,120","1.08M","0.00%"
"2021년 04월 08일","9,160","9,240","9,240","9,160","1.81M","-0.11%"
"2021년 04월 07일","9,170","9,060","9,240","9,060","3.10M","1.21%"
"2021년 04월 06일","9,060","9,080","9,110","9,030","0.52K","-0.22%"
"2021년 04월 05일","9,080","9,050","9,090","9,000","2.11K","0.44%"
"2021년 04월 04일","9,040","9,040","9,040","9,040","-","0.00%"
"2021년 04월 02일","9,040","9,080","9,090","9,020","1.09M","-0.55%"
"2021년 04월 01일","9,090","9,170","9,180","9,060","1.27K","-0.76%"
"2021년 03월 31일","9,160","9,170","9,210","9,160","1.60K","0.22%"
"2021년 03월 30일","9,140","9,080","9,160","9,050","1.89M","0.66%"
"2021년 03월 29일","9,080","9,040","9,080","8,960","1.83K","0.55%"
"2021년 03월 26일","9,030","9,070","9,110","9,020","1.48M","0.00%"
"2021년 03월 25일","9,030","8,900","9,080","8,850","1.78M","1.46%"
"2021년 03월 24일","8,900","8,950","9,010","8,890","0.71K","-1.22%"
"2021년 03월 23일","9,010","9,080","9,120","9,000","0.06K","-1.10%"
"2021년 03월 22일","9,110","9,110","9,130","9,040","1.67M","-0.11%"
"2021년 03월 21일","9,120","9,120","9,120","9,120","-","0.00%"
"2021년 03월 19일","9,120","9,220","9,230","9,070","3.38M","-0.11%"
"2021년 03월 18일","9,130","9,110","9,140","9,000","0.32K","0.22%"
"2021년 03월 17일","9,110","9,100","9,140","9,050","1.56M","0.11%"
"2021년 03월 16일","9,100","9,030","9,110","9,020","2.36K","0.89%"
"2021년 03월 15일","9,020","9,020","9,070","8,980","2.04M","0.67%"
"2021년 03월 14일","8,960","8,960","8,960","8,960","-","0.00%"
"2021년 03월 12일","8,960","8,960","8,980","8,850","2.40M","-0.55%"
"2021년 03월 11일","9,010","9,040","9,170","8,980","0.51K","0.22%"
"2021년 03월 10일","8,990","8,840","8,990","8,770","0.01K","0.00%"
"2021년 03월 09일","8,990","8,960","9,040","8,860","2.58K","1.58%"
"2021년 03월 08일","8,850","8,740","8,850","8,690","0.11K","2.31%"
"2021년 03월 05일","8,650","8,580","8,760","8,580","3.79M","0.82%"
"2021년 03월 04일","8,580","8,540","8,650","8,470","5.62K","0.47%"
"2021년 03월 03일","8,540","8,380","8,550","8,370","9.59K","1.79%"
"2021년 03월 02일","8,390","8,400","8,480","8,360","1.41M","0.72%"
"2021년 02월 26일","8,330","8,420","8,450","8,310","2.85M","-2.23%"
"2021년 02월 25일","8,520","8,470","8,530","8,430","1.79K","1.19%"
"2021년 02월 24일","8,420","8,480","8,540","8,410","1.90M","-0.47%"
"2021년 02월 23일","8,460","8,480","8,560","8,440","1.61M","0.48%"
"2021년 02월 22일","8,420","8,480","8,510","8,420","5.17K","-0.47%"
"2021년 02월 21일","8,460","8,460","8,460","8,460","-","0.00%"
"2021년 02월 19일","8,460","8,400","8,460","8,270","1.80M","0.71%"
"2021년 02월 18일","8,400","8,500","8,510","8,400","1.21K","-1.18%"
"2021년 02월 17일","8,500","8,480","8,550","8,440","0.50K","0.71%"
"2021년 02월 16일","8,440","8,480","8,480","8,380","0.12K","-0.35%"
"2021년 02월 15일","8,470","8,520","8,540","8,460","0.05K","0.00%"
"2021년 02월 14일","8,470","8,470","8,470","8,470","-","0.00%"
"2021년 02월 10일","8,470","8,460","8,500","8,340","1.59M","0.59%"
"2021년 02월 09일","8,420","8,580","8,580","8,370","0.20K","-0.82%"
"2021년 02월 08일","8,490","8,290","8,550","8,250","3.91M","3.16%"
"2021년 02월 07일","8,230","8,230","8,230","8,230","-","0.00%"
"2021년 02월 05일","8,230","8,160","8,230","8,140","1.54M","1.48%"
"2021년 02월 04일","8,110","8,230","8,230","8,080","1.51M","-1.58%"
"2021년 02월 03일","8,240","8,260","8,290","8,130","0.03K","0.61%"
"2021년 02월 02일","8,190","8,160","8,230","8,110","0.01K","0.37%"
"2021년 02월 01일","8,160","7,840","8,250","7,840","0.69K","4.21%"
"2021년 01월 31일","7,830","7,830","7,830","7,830","-","0.00%"
"2021년 01월 29일","7,830","8,120","8,130","7,830","4.56M","-3.09%"
"2021년 01월 28일","8,080","8,160","8,170","8,030","2.92M","-1.94%"
"2021년 01월 27일","8,240","8,340","8,360","8,220","0.32K","-0.48%"
"2021년 01월 26일","8,280","8,420","8,440","8,270","3.78M","-1.66%"
"2021년 01월 25일","8,420","8,450","8,450","8,370","0.00K","-0.71%"
"2021년 01월 24일","8,480","8,480","8,480","8,480","-","0.00%"
"2021년 01월 22일","8,480","8,550","8,560","8,470","2.32M","-1.05%"
"2021년 01월 21일","8,570","8,580","8,590","8,510","2.16M","0.12%"
"2021년 01월 20일","8,560","8,640","8,640","8,540","0.20K","-0.81%"
"2021년 01월 19일","8,630","8,600","8,680","8,560","16.83K","0.82%"
"2021년 01월 18일","8,560","8,640","8,640","8,540","0.20K","-1.27%"
"2021년 01월 17일","8,670","8,670","8,670","8,670","-","0.00%"
"2021년 01월 15일","8,670","8,880","8,890","8,670","3.31M","-1.92%"
"2021년 01월 14일","8,840","8,900","8,910","8,800","2.76M","-0.45%"
"2021년 01월 13일","8,880","8,750","8,890","8,750","1.20K","2.30%"
"2021년 01월 12일","8,680","8,630","8,770","8,580","0.02K","0.12%"
"2021년 01월 11일","8,670","8,830","8,830","8,580","0.12K","-1.81%"
"2021년 01월 10일","8,830","8,830","8,830","8,830","-","0.00%"
"2021년 01월 08일","8,830","8,950","8,950","8,780","4.10M","-0.45%"
"2021년 01월 07일","8,870","8,900","8,930","8,820","5.15M","1.95%"
"2021년 01월 06일","8,700","8,720","8,860","8,630","0.00K","-0.11%"
"2021년 01월 05일","8,710","8,580","8,710","8,550","0.11K","1.04%"
"2021년 01월 04일","8,620","8,840","8,860","8,610","0.32K","-2.49%"
