date,samsung_price,samsung_change,up_count,down_count,news_up,news_down
2021-04-05,85400,0.71,11,5,12.0,7.0
2021-04-04,84800,0.0,0,0,8.0,4.0
2021-04-02,84800,2.29,7,2,5.0,3.0
2021-04-01,82900,1.84,10,5,7.0,3.0
2021-03-31,81400,-0.97,10,1,9.0,3.0
2021-03-30,82200,0.74,3,0,2.0,3.0
2021-03-29,81600,0.12,7,1,2.0,0.0
2021-03-28,81500,0.0,0,0,1.0,1.0
2021-03-26,81500,0.37,4,3,7.0,0.0
2021-03-25,81200,0.25,7,2,14.0,3.0
2021-03-24,81000,-0.98,9,6,9.0,5.0
2021-03-23,81800,-0.24,5,7,4.0,4.0
2021-03-22,82000,0.12,10,0,8.0,1.0
2021-03-21,81900,0.0,0,0,7.0,2.0
2021-03-19,81900,-1.21,6,3,0.0,3.0
2021-03-18,82900,0.73,3,3,6.0,4.0
2021-03-17,82300,-0.6,7,3,12.0,7.0
2021-03-16,82800,1.22,9,3,8.0,7.0
2021-03-15,81800,-1.21,5,5,1.0,9.0
2021-03-14,82800,0.0,0,0,0.0,1.0
2021-03-12,82800,0.98,8,3,6.0,0.0
2021-03-11,82000,1.36,6,4,5.0,4.0
2021-03-10,80900,-0.61,12,6,8.0,6.0
2021-03-09,81400,-0.73,13,10,8.0,2.0
2021-03-08,82000,-0.12,5,3,4.0,0.0
2021-03-07,82100,0.0,0,0,1.0,6.0
2021-03-05,82100,-0.36,4,6,5.0,4.0
2021-03-04,82400,-1.9,15,10,8.0,9.0
2021-03-03,84000,0.48,2,1,4.0,0.0
2021-03-02,83600,1.33,12,5,3.0,2.0
2021-03-01,82500,0.0,0,0,6.0,4.0
2021-02-26,82500,-3.28,10,13,1.0,3.0
2021-02-25,85300,4.02,12,5,6.0,1.0
2021-02-24,82000,0.0,16,5,16.0,1.0
2021-02-23,82000,-0.24,6,1,5.0,4.0
2021-02-22,82200,-0.48,6,2,4.0,3.0
2021-02-21,82600,0.0,0,0,1.0,4.0
2021-02-19,82600,0.61,9,14,1.0,1.0
2021-02-18,82100,-1.32,4,8,4.0,4.0
2021-02-17,83200,-2.0,23,14,10.0,4.0
2021-02-16,84900,0.83,21,7,3.0,4.0
2021-02-15,84200,3.19,20,7,2.0,3.0
2021-02-14,81600,0.0,0,0,5.0,3.0
2021-02-10,81600,-1.33,13,13,0.0,2.0
2021-02-09,82700,-0.36,11,6,3.0,6.0
2021-02-08,83000,-0.6,10,6,3.0,3.0
2021-02-07,83500,0.0,0,0,7.0,1.0
2021-02-05,83500,1.21,11,1,4.0,2.0
2021-02-04,82500,-2.48,20,8,0.0,2.0
2021-02-03,84600,0.24,12,4,10.0,1.0
2021-02-02,84400,1.69,18,10,14.0,4.0
2021-01-31,82000,0.0,1,0,3.0,0.0
2021-01-29,82000,-2.03,25,15,7.0,7.0
2021-01-28,83700,-2.22,16,23,15.0,10.0
2021-01-27,85600,-1.27,13,13,4.0,2.0
2021-01-26,86700,-3.02,26,10,1.0,0.0
2021-01-25,89400,3.0,24,6,2.0,1.0
2021-01-24,86800,0.0,0,0,3.0,3.0
2021-01-22,86800,-1.48,19,6,4.0,4.0
2021-01-20,87200,0.23,15,6,1.0,0.0
2021-01-18,85000,-3.41,27,28,0.0,1.0
2021-01-15,88000,-1.9,29,12,4.0,0.0
2021-01-14,89700,0.0,28,9,1.0,0.0
2021-01-12,90600,-0.44,51,32,1.0,0.0
2021-01-11,91000,2.48,73,18,2.0,0.0
2021-01-10,88800,0.0,0,0,1.0,0.0
2021-01-08,88800,7.12,20,9,0.0,1.0
2021-01-06,82200,-2.03,15,9,0.0,1.0
2021-01-05,83900,1.08,22,5,2.0,0.0
2021-01-04,83000,2.47,19,10,2.0,0.0
